,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Mood
13,13,0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,248448,False,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4,acoustic,Sad
14,14,4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,False,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,acoustic,Happy
15,15,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,acoustic,Sad
16,16,6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,False,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,acoustic,Sad
17,17,4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,False,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,acoustic,Sad
18,18,2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,Happy
19,19,6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,False,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4,acoustic,Sad
20,20,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,Sad
21,21,210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,False,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,4,acoustic,Sad
22,22,5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,Sad
23,23,0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,0,216386,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,Sad
24,24,3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,231266,False,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,4,acoustic,Happy
25,25,6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Mellow Adult Pop,Bella Luna,1,302346,False,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,120.06,4,acoustic,Sad
26,26,5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Sad
27,27,0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,False,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,4,acoustic,Happy
28,28,5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Sad
29,29,2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Sad
30,30,3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Sad
31,31,3ax0rfGb7exLtl02LL08U9,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,False,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,acoustic,Sad
32,32,1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,False,0.593,0.455,6,-8.192,1,0.0388,0.366,0.0,0.0914,0.564,202.019,4,acoustic,Sad
33,33,3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,259558,False,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,Sad
34,34,0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0,259558,False,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,Sad
35,35,6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0,259558,False,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,acoustic,Sad
36,36,62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0,257493,False,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic,Sad
37,37,3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,rainy day indie,Throwing Good After Bad,0,247791,False,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58e-05,0.0915,0.316,138.016,4,acoustic,Sad
38,38,1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,Coffee Moment,This Time Tomorrow,0,206267,False,0.606,0.326,10,-10.031,1,0.0294,0.841,0.0,0.139,0.414,91.626,4,acoustic,Sad
39,39,0adVktNVJXPZfhQe6B1NO5,KT Tunstall,sadsadchristmas,Lonely This Christmas,0,257493,False,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4,acoustic,Sad
40,40,6sp6Vx3sv2l5qxPfbQkcyt,Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0,306794,False,0.474,0.519,7,-5.291,1,0.0253,0.281,0.0,0.107,0.326,151.832,4,acoustic,Sad
41,41,1WFVfVjCtbmdIv7j3Fa9iy,Brandi Carlile,Mellow Adult Pop,When You're Wrong,0,266960,False,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,4,acoustic,Sad
42,42,0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
43,43,1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
44,44,6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,False,0.476,0.666,6,-3.438,1,0.0446,0.314,0.0,0.342,0.498,148.155,4,acoustic,Happy
45,45,7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
46,46,3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
47,47,0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
48,48,27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
49,49,1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,230098,False,0.568,0.686,1,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,acoustic,Happy
1000,1000,4pR4oQJULf7FDB54TleMyH,Limoblaze;Lecrae;Happi,Jireh (My Provider),Jireh (My Provider),64,168000,False,0.443,0.778,0,-7.564,0,0.266,0.241,0.0,0.215,0.628,128.25,5,afrobeat,Energetic
1001,1001,4Ds4bq6aqOSAp1T7DikOi4,Criolo,Ainda Há Tempo,Ainda Há Tempo,44,318360,False,0.58,0.8,6,-7.528,1,0.345,0.281,0.0,0.0708,0.483,81.303,4,afrobeat,Energetic
1002,1002,7nYbKsvhM88mHCmFsAIQVp,Criolo,Fellini,Fellini,42,171989,False,0.805,0.746,1,-5.211,0,0.185,0.238,0.0,0.215,0.717,127.922,4,afrobeat,Happy
1003,1003,7gVNP7rI9UBZndge0ulKfL,Criolo,Nó na Orelha,Lion Man,46,205440,False,0.582,0.66,7,-4.988,0,0.0544,0.399,0.0,0.127,0.484,83.789,4,afrobeat,Sad
1004,1004,1hLvWelTny8vttEEZIXVjw,Criolo,Espiral de Ilusão,Espiral de Ilusão,44,220800,False,0.776,0.314,2,-9.513,1,0.034,0.881,0.000723,0.139,0.476,124.055,4,afrobeat,Sad
1005,1005,660JNfrBV1K41iYGOh7ClC,Criolo,Sobre Viver,Yemanjá Chegou,43,258359,False,0.711,0.515,2,-8.238,0,0.0514,0.679,0.000324,0.0971,0.679,90.91,4,afrobeat,Sad
1006,1006,0tsjEf663ZNWGlIqY2c0Ms,Criolo;Rael,Ainda Há Tempo,Tô Pra Ver,41,254520,False,0.637,0.818,8,-6.851,1,0.281,0.19,0.0,0.102,0.599,90.571,4,afrobeat,Energetic
1007,1007,1Vc0GbabaIukvQZeQTrNQc,BaianaSystem,Terapia,Terapia,39,261400,False,0.79,0.814,9,-6.358,0,0.0268,0.243,0.0102,0.528,0.914,124.03,4,afrobeat,Happy
1008,1008,1bBO92RtVTlJlfxuVaLek8,Plastilina Mosh,Hola Chicuelos,Aló,40,244933,False,0.797,0.609,10,-10.537,1,0.131,0.00375,0.0191,0.128,0.913,142.035,4,afrobeat,Happy
1009,1009,00LmM2QLGpfb5NC7PC7qqZ,Criolo,Ainda Há Tempo,Vasilhame,43,172440,False,0.506,0.876,2,-5.877,0,0.316,0.194,1.86e-06,0.353,0.676,124.218,5,afrobeat,Energetic
1010,1010,0pY5jjQucjJg3pqAbHhGkW,Criolo,Nó na Orelha,Sucrilhos,46,240226,False,0.788,0.574,0,-9.068,1,0.319,0.0626,0.0,0.203,0.764,160.027,4,afrobeat,Happy
1011,1011,3ARDVYRmYJx1FrvR9Zlwp2,Criolo,Ainda Há Tempo,Chuva Ácida,39,180000,False,0.708,0.782,9,-6.419,1,0.284,0.0507,0.0,0.251,0.717,94.038,4,afrobeat,Energetic
1012,1012,0J4hFHpfCAlJOdrtcm04vz,Criolo,Ainda Há Tempo,Breaco,40,177240,False,0.619,0.781,1,-6.548,1,0.333,0.148,0.0,0.183,0.728,182.026,4,afrobeat,Energetic
1013,1013,3BGxXQJWeLAEcwNKRFUxYA,BaianaSystem;BNegão,ATO 1: Navio Pirata,Reza Forte,38,232826,False,0.844,0.915,0,-4.06,0,0.129,0.393,0.00238,0.0847,0.872,145.997,4,afrobeat,Happy
1014,1014,7cAxwshLN1yidrBlDePrYW,Criolo,Ainda Há Tempo,É o Teste,41,279720,False,0.66,0.728,10,-6.177,0,0.337,0.178,0.0,0.0516,0.594,91.101,4,afrobeat,Energetic
1015,1015,0VSuq0KNSy1nOBO47e1bCN,Criolo;MC Hariel;Liniker;Maria Vilani;Jaques Morelenbaum,Sobre Viver,Pequenina,42,273973,False,0.606,0.6,7,-7.785,1,0.139,0.0469,0.0,0.327,0.529,159.971,4,afrobeat,Energetic
1016,1016,0fAmpdONIYsxiP27CwnzLJ,Jorge Drexler;Sebastián Prada,Milonga de Ojos Dorados (Alfredo Zitarrosa) [Live on Pardelion Music],Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,38,161342,False,0.67,0.273,7,-10.77,1,0.0388,0.946,0.00136,0.179,0.443,128.87,4,afrobeat,Sad
1017,1017,1SV0orNlJMONEKfQ9QEUrh,Criolo,Ainda Há Tempo,Até Me Emocionei,38,175800,False,0.772,0.789,4,-7.159,0,0.298,0.101,0.0,0.0575,0.549,84.96,4,afrobeat,Energetic
1018,1018,3KYbhVPCxYHIeZg8Zy07ay,Criolo;Emicida;Mano Brown,Criolo E Emicida Ao Vivo (Live),Vida Loka I - Live,44,271840,False,0.434,0.877,8,-5.945,0,0.247,0.849,0.0,0.653,0.662,82.109,4,afrobeat,Happy
1019,1019,1YuVO6AipAn5U1VoG1RBGN,Criolo,Ainda Há Tempo,Demorô,37,138480,False,0.755,0.709,1,-5.066,0,0.289,0.0528,0.0,0.0825,0.657,140.989,4,afrobeat,Energetic
1020,1020,3j0d73FhRaRKlasGXXKZMu,BaianaSystem;Liz Reis,OXEAXEEXU,Guerra Batalha,36,146000,False,0.437,0.357,4,-7.6,0,0.0294,0.676,1.11e-06,0.118,0.26,120.088,4,afrobeat,Sad
1021,1021,0mW4qfi2vus7qErr9jAeFJ,BaianaSystem,Duas Cidades,Duas Cidades,44,226040,False,0.789,0.899,6,-6.363,1,0.138,0.125,0.0,0.103,0.847,97.999,4,afrobeat,Happy
1022,1022,3hhC43A13GnvLnvhSXemhN,Criolo,Nó na Orelha,Mariô,41,217400,False,0.763,0.577,10,-7.085,0,0.125,0.0875,0.00163,0.101,0.658,90.015,4,afrobeat,Happy
1023,1023,4dr8LN0s4WhnLLTzfsZkj5,Criolo;Emicida;Evandro Fióti,Criolo E Emicida Ao Vivo (Live),Só Mais Uma Noite - Live,37,188666,False,0.518,0.918,4,-5.548,0,0.276,0.325,0.0,0.79,0.62,98.777,4,afrobeat,Energetic
